datetime;tint;tint_sp
 11/01  00:05:00;20,49167298;17
 11/01  00:10:00;20,47924281;17
 11/01  00:15:00;20,46233296;17
 11/01  00:20:00;20,44178705;17
 11/01  00:25:00;20,41856667;17
 11/01  00:30:00;20,3934681;17
 11/01  00:35:00;20,36710426;17
 11/01  00:40:00;20,33995187;17
 11/01  00:45:00;20,31239334;17
 11/01  00:50:00;20,28473861;17
 11/01  00:55:00;20,25723951;17
 11/01  01:00:00;20,23009831;17
 11/01  01:05:00;20,20338088;17
 11/01  01:10:00;20,17715927;17
 11/01  01:15:00;20,15151472;17
 11/01  01:20:00;20,12651924;17
 11/01  01:25:00;20,10223028;17
 11/01  01:30:00;20,07868706;17
 11/01  01:35:00;20,05591262;17
 11/01  01:40:00;20,03391706;17
 11/01  01:45:00;20,01270057;17
 11/01  01:50:00;19,99225588;17
 11/01  01:55:00;19,97257013;17
 11/01  02:00:00;19,95362549;17
 11/01  02:05:00;19,93451961;17
 11/01  02:10:00;19,91569391;17
 11/01  02:15:00;19,89757081;17
 11/01  02:20:00;19,880311;17
 11/01  02:25:00;19,86391048;17
 11/01  02:30:00;19,84830988;17
 11/01  02:35:00;19,83344638;17
 11/01  02:40:00;19,81926685;17
 11/01  02:45:00;19,80572644;17
 11/01  02:50:00;19,81467186;17
 11/01  02:55:00;19,85565319;17
 11/01  03:00:00;19,91456627;17
 11/01  03:05:00;19,97752333;17
 11/01  03:10:00;20,03773285;17
 11/01  03:15:00;20,09348034;17
 11/01  03:20:00;20,14509354;17
 11/01  03:25:00;20,1932661;17
 11/01  03:30:00;20,23853332;17
 11/01  03:35:00;20,28124912;17
 11/01  03:40:00;20,32167287;17
 11/01  03:45:00;20,36003423;17
 11/01  03:50:00;20,39656809;17
 11/01  03:55:00;20,43156546;17
 11/01  04:00:00;20,46516526;17
 11/01  04:05:00;20,49727289;17
 11/01  04:10:00;20,52780684;17
 11/01  04:15:00;20,55674812;17
 11/01  04:20:00;20,58411108;17
 11/01  04:25:00;20,61001274;17
 11/01  04:30:00;20,63455864;17
 11/01  04:35:00;20,65777998;17
 11/01  04:40:00;20,67968682;17
 11/01  04:45:00;20,70029967;17
 11/01  04:50:00;20,7355958;17
 11/01  04:55:00;20,80072703;17
 11/01  05:00:00;20,89645494;17
 11/01  05:05:00;21,01300548;17
 11/01  05:10:00;21,13468479;17
 11/01  05:15:00;21,25172779;17
 11/01  05:20:00;21,34844144;17
 11/01  05:25:00;21,41324673;17
 11/01  05:30:00;21,44669325;17
 11/01  05:35:00;21,47543457;17
 11/01  05:40:00;21,52498902;17
 11/01  05:45:00;21,5959922;17
 11/01  05:50:00;21,67507157;17
 11/01  05:55:00;21,75237531;17
 11/01  06:00:00;21,8240033;17
 11/01  06:05:00;21,88947726;17
 11/01  06:10:00;21,94942536;17
 11/01  06:15:00;22,00454643;17
 11/01  06:20:00;22,05536382;17
 11/01  06:25:00;22,10226161;17
 11/01  06:30:00;22,14555422;17
 11/01  06:35:00;22,18552681;17
 11/01  06:40:00;22,22244542;17
 11/01  06:45:00;22,25656029;17
 11/01  06:50:00;22,28810406;17
 11/01  06:55:00;22,31729217;17
 11/01  07:00:00;22,34432191;17
 11/01  07:05:00;22,37036937;21
 11/01  07:10:00;22,37954993;21
 11/01  07:15:00;22,36627046;21
 11/01  07:20:00;22,33302044;21
 11/01  07:25:00;22,28474007;21
 11/01  07:30:00;22,22599325;21
 11/01  07:35:00;22,16031426;21
 11/01  07:40:00;22,09029595;21
 11/01  07:45:00;22,01784819;21
 11/01  07:50:00;21,94440153;21
 11/01  07:55:00;21,87103721;21
 11/01  08:00:00;21,79857432;21
 11/01  08:05:00;21,74443615;21
 11/01  08:10:00;21,70223299;21
 11/01  08:15:00;21,6645879;21
 11/01  08:20:00;21,62810343;21
 11/01  08:25:00;21,59212548;21
 11/01  08:30:00;21,55698906;21
 11/01  08:35:00;21,52311717;21
 11/01  08:40:00;21,49077162;21
 11/01  08:45:00;21,46007375;21
 11/01  08:50:00;21,43106865;21
 11/01  08:55:00;21,40376839;21
 11/01  09:00:00;21,37816313;21
 11/01  09:05:00;21,35561704;21
 11/01  09:10:00;21,33565636;21
 11/01  09:15:00;21,31768298;21
 11/01  09:20:00;21,30136818;21
 11/01  09:25:00;21,28657957;21
 11/01  09:30:00;21,27326142;21
 11/01  09:35:00;21,26135664;21
 11/01  09:40:00;21,25080577;21
 11/01  09:45:00;21,24154828;21
 11/01  09:50:00;21,2335248;21
 11/01  09:55:00;21,22667768;21
 11/01  10:00:00;21,22095253;21
 11/01  10:05:00;21,21610892;21
 11/01  10:10:00;21,2120006;21
 11/01  10:15:00;21,20856258;21
 11/01  10:20:00;21,20576562;21
 11/01  10:25:00;21,20370582;21
 11/01  10:30:00;21,20235302;21
 11/01  10:35:00;21,20161113;21
 11/01  10:40:00;21,20140467;21
 11/01  10:45:00;21,20168635;21
 11/01  10:50:00;21,20242615;21
 11/01  10:55:00;21,20360027;21
 11/01  11:00:00;21,20518672;21
 11/01  11:05:00;21,20578595;21
 11/01  11:10:00;21,20584463;21
 11/01  11:15:00;21,20591289;21
 11/01  11:20:00;21,20625409;21
 11/01  11:25:00;21,20692518;21
 11/01  11:30:00;21,20790303;21
 11/01  11:35:00;21,20914492;21
 11/01  11:40:00;21,21060388;21
 11/01  11:45:00;21,21224924;21
 11/01  11:50:00;21,21406291;21
 11/01  11:55:00;21,21603249;21
 11/01  12:00:00;21,21814763;21
 11/01  12:05:00;21,22039465;21
 11/01  12:10:00;21,22276226;21
 11/01  12:15:00;21,22524113;21
 11/01  12:20:00;21,22782406;21
 11/01  12:25:00;21,23050502;21
 11/01  12:30:00;21,23327864;21
 11/01  12:35:00;21,23610742;21
 11/01  12:40:00;21,23896917;21
 11/01  12:45:00;21,24185257;21
 11/01  12:50:00;21,24475119;21
 11/01  12:55:00;21,24766023;21
 11/01  13:00:00;21,25057557;21
 11/01  13:05:00;21,25475501;21
 11/01  13:10:00;21,25969619;21
 11/01  13:15:00;21,26483061;21
 11/01  13:20:00;21,26988705;21
 11/01  13:25:00;21,27480025;21
 11/01  13:30:00;21,27958247;21
 11/01  13:35:00;21,28423922;21
 11/01  13:40:00;21,28877006;21
 11/01  13:45:00;21,29317558;21
 11/01  13:50:00;21,29746109;21
 11/01  13:55:00;21,30162726;21
 11/01  14:00:00;21,30567585;21
 11/01  14:05:00;21,30954971;21
 11/01  14:10:00;21,313278;21
 11/01  14:15:00;21,31690833;21
 11/01  14:20:00;21,32047075;21
 11/01  14:25:00;21,32397924;21
 11/01  14:30:00;21,32744009;21
 11/01  14:35:00;21,33083857;21
 11/01  14:40:00;21,33416677;21
 11/01  14:45:00;21,33742288;21
 11/01  14:50:00;21,34060788;21
 11/01  14:55:00;21,34372373;21
 11/01  15:00:00;21,34677244;21
 11/01  15:05:00;21,34971776;21
 11/01  15:10:00;21,35253082;21
 11/01  15:15:00;21,35520287;21
 11/01  15:20:00;21,35772854;21
 11/01  15:25:00;21,3601085;21
 11/01  15:30:00;21,36234763;21
 11/01  15:35:00;21,36442124;21
 11/01  15:40:00;21,36633553;21
 11/01  15:45:00;21,36810637;21
 11/01  15:50:00;21,36974709;21
 11/01  15:55:00;21,37125918;21
 11/01  16:00:00;21,37264961;21
 11/01  16:05:00;21,3738271;21
 11/01  16:10:00;21,37474489;21
 11/01  16:15:00;21,37539639;21
 11/01  16:20:00;21,37579187;21
 11/01  16:25:00;21,37594472;21
 11/01  16:30:00;21,37586625;21
 11/01  16:35:00;21,37562161;21
 11/01  16:40:00;21,3752391;21
 11/01  16:45:00;21,37473176;21
 11/01  16:50:00;21,37410786;21
 11/01  16:55:00;21,37337311;21
 11/01  17:00:00;21,3725341;21
 11/01  17:05:00;21,37144032;21
 11/01  17:10:00;21,3700673;21
 11/01  17:15:00;21,36833468;21
 11/01  17:20:00;21,3663245;21
 11/01  17:25:00;21,36412804;21
 11/01  17:30:00;21,36180064;21
 11/01  17:35:00;21,35936954;21
 11/01  17:40:00;21,35684936;21
 11/01  17:45:00;21,35425022;21
 11/01  17:50:00;21,35158083;21
 11/01  17:55:00;21,34884926;21
 11/01  18:00:00;21,34606261;21
 11/01  18:05:00;21,32683023;21
 11/01  18:10:00;21,29768341;21
 11/01  18:15:00;21,26603378;21
 11/01  18:20:00;21,23539497;21
 11/01  18:25:00;21,20657992;21
 11/01  18:30:00;21,17939125;21
 11/01  18:35:00;21,15349291;21
 11/01  18:40:00;21,12865474;21
 11/01  18:45:00;21,10474622;21
 11/01  18:50:00;21,08168571;21
 11/01  18:55:00;21,05940812;21
 11/01  19:00:00;21,03785297;21
 11/01  19:05:00;21,00274597;17
 11/01  19:10:00;20,95973658;17
 11/01  19:15:00;20,91515887;17
 11/01  19:20:00;20,87195485;17
 11/01  19:25:00;20,83073864;17
 11/01  19:30:00;20,7912565;17
 11/01  19:35:00;20,75312555;17
 11/01  19:40:00;20,71602498;17
 11/01  19:45:00;20,67965459;17
 11/01  19:50:00;20,64408079;17
 11/01  19:55:00;20,60935773;17
 11/01  20:00:00;20,57561094;17
 11/01  20:05:00;20,54290092;17
 11/01  20:10:00;20,51124928;17
 11/01  20:15:00;20,48065632;17
 11/01  20:20:00;20,45111024;17
 11/01  20:25:00;20,42259151;17
